org_account_id,transaction_type,transction_date,amount,,,
938,CHARGE,10/7/18,2560,,,
938,CHARGE,10/12/18,3200,,,
938,CHARGE,10/16/18,5120,,,
938,CHARGE,10/21/18,7680,,,
938,CHARGE,10/25/18,3200,,,
938,CHARGE,11/1/18,3200,,,
938,CHARGE,11/11/18,2560,,,
938,CHARGE,12/10/18,14720,,,
938,CHARGE,12/11/18,22080,,,
938,CHARGE,12/12/18,7360,,,
938,CHARGE,12/24/18,7360,,,
938,CHARGE,12/31/18,7360,,,
938,CHARGE,1/2/19,7360,,,
938,CHARGE,1/4/19,7360,,,
938,CHARGE,1/8/19,14720,,,
938,CHARGE,1/9/19,14720,,,
938,CHARGE,1/14/19,22080,,,
938,CHARGE,1/15/19,14720,,,
938,CHARGE,1/17/19,7360,,,
938,CHARGE,1/18/19,14720,,,
938,CHARGE,1/20/19,7360,,,
938,CHARGE,1/21/19,7360,,,
938,CHARGE,1/22/19,14720,,,
938,CHARGE,1/24/19,7360,,,
938,CHARGE,1/25/19,7360,,,
938,CHARGE,1/26/19,7360,,,
938,CHARGE,1/27/19,22080,,,
938,CHARGE,1/28/19,3200,,,
938,CHARGE,1/30/19,14720,,,
938,CHARGE,1/31/19,14720,,,
938,CHARGE,2/1/19,3200,,,
938,CHARGE,2/2/19,14720,,,
938,CHARGE,2/6/19,14720,,,
938,CHARGE,2/13/19,7360,,,
938,CHARGE,2/18/19,15040,,,
938,CHARGE,2/19/19,10240,,,
938,CHARGE,2/22/19,7360,,,
938,CHARGE,2/25/19,20160,,,
938,CREDIT,2/26/19,19840,,,
938,CHARGE,2/27/19,5120,,,
938,CHARGE,2/28/19,12480,,,
938,CHARGE,3/1/19,2560,,,
938,CHARGE,3/2/19,7360,,,
938,CHARGE,3/3/19,15680,,,
938,CHARGE,3/4/19,5120,,,
938,CHARGE,3/5/19,5760,,,
938,CHARGE,3/6/19,5120,,,
938,CHARGE,3/9/19,7360,,,
938,CHARGE,3/10/19,2560,,,
938,CHARGE,3/15/19,17280,,,
938,CHARGE,3/16/19,2560,,,
938,CHARGE,3/17/19,5120,,,
938,CHARGE,3/18/19,2560,,,
938,CHARGE,3/19/19,14720,,,
938,CHARGE,3/20/19,2560,,,
938,CHARGE,3/22/19,6400,,,
938,CHARGE,3/23/19,5760,,,
938,CHARGE,3/24/19,8960,,,
938,CHARGE,3/25/19,3200,,,
938,CHARGE,3/26/19,2560,,,
938,CHARGE,3/27/19,6400,,,
938,CHARGE,3/30/19,2560,,,
938,CHARGE,3/31/19,6400,,,
938,CHARGE,4/1/19,12160,,,
938,CHARGE,4/3/19,6400,,,
938,CHARGE,4/4/19,5120,,,
938,CHARGE,4/6/19,2560,,,
938,CHARGE,4/7/19,26240,,,
938,CHARGE,4/8/19,62080,,,
938,CHARGE,4/9/19,14400,,,
938,CHARGE,4/11/19,5760,,,
938,CHARGE,4/13/19,2560,,,
938,CHARGE,4/14/19,5120,,,
938,CHARGE,4/15/19,8320,,,
938,CHARGE,4/16/19,2560,,,
938,CHARGE,4/22/19,3200,,,
938,CHARGE,4/24/19,6720,,,
938,CHARGE,4/28/19,9600,,,
938,CHARGE,4/29/19,17280,,,
938,CHARGE,5/10/19,6400,,,
938,CHARGE,5/13/19,3200,,,
938,CREDIT,5/14/19,16000,,,
938,CREDIT,5/15/19,8000,,,
938,CHARGE,5/16/19,8000,,,
938,CHARGE,5/17/19,19200,,,
938,CHARGE,5/19/19,8000,,,
938,CHARGE,5/21/19,19840,,,
938,CHARGE,5/22/19,21440,,,
938,CHARGE,5/23/19,13120,,,
938,CHARGE,5/25/19,12800,,,
938,CHARGE,5/27/19,13120,,,
938,CHARGE,5/28/19,91200,,,
938,CREDIT,5/29/19,64960,,,
938,CHARGE,5/30/19,8640,,,
938,PARTIAL_CREDIT,5/31/19,14400,,,
938,CHARGE,6/2/19,13760,,,
938,CHARGE,6/8/19,6400,,,
938,CHARGE,6/10/19,6400,,,
938,CHARGE,6/12/19,9920,,,
938,CHARGE,6/13/19,8320,,,
938,CHARGE,6/14/19,13120,,,
938,CHARGE,6/15/19,8000,,,
938,CHARGE,6/17/19,9920,,,
938,CHARGE,7/1/19,6400,,,
938,CHARGE,7/11/19,8640,,,
938,PARTIAL_CREDIT,7/12/19,4800,,,
2036,CHARGE,10/1/18,961.28,,,
2036,CHARGE,10/2/18,301.56,,,
2036,CHARGE,10/3/18,1053.61,,,
2036,CHARGE,10/4/18,1354.97,,,
2036,CHARGE,10/5/18,452.09,,,
2036,CHARGE,10/6/18,300.45,,,
2036,CHARGE,10/7/18,866.54,,,
2036,CREDIT,10/8/18,357,,,
2036,CREDIT,10/9/18,485.14,,,
2036,CHARGE,10/10/18,970.45,,,
2036,CHARGE,10/11/18,1096.11,,,
2036,CHARGE,10/12/18,834.62,,,
2036,CHARGE,10/13/18,511.99,,,
2036,CHARGE,10/14/18,1405.95,,,
2036,CHARGE,10/15/18,1254.5,,,
2036,CHARGE,10/16/18,1720.34,,,
2036,CHARGE,10/17/18,2696.73,,,
2036,CHARGE,10/18/18,5866.53,,,
2036,CHARGE,10/19/18,4231.6,,,
2036,CHARGE,10/20/18,1777.78,,,
2036,CHARGE,10/21/18,300.64,,,
2036,PARTIAL_CREDIT,10/22/18,709.73,,,
2036,CHARGE,10/23/18,3164.76,,,
2036,CHARGE,10/24/18,817.56,,,
2036,CHARGE,10/25/18,247.75,,,
2036,CHARGE,10/26/18,398.42,,,
2036,CHARGE,10/28/18,91.54,,,
2036,CHARGE,10/29/18,1318.14,,,
2036,CHARGE,10/30/18,1095,,,
2036,CHARGE,10/31/18,525,,,
2036,CHARGE,11/2/18,570,,,
2036,CHARGE,11/3/18,63,,,
2036,CHARGE,11/4/18,525,,,
2036,PARTIAL_CREDIT,11/5/18,33,,,
2036,CHARGE,11/9/18,45,,,
2036,CREDIT,11/12/18,270,,,
2036,CHARGE,11/13/18,41899.06,,,
2036,CHARGE,11/14/18,32498.08,,,
2036,CHARGE,11/15/18,27906.2,,,
2036,CHARGE,11/16/18,8264.17,,,
2036,CHARGE,11/17/18,3836.06,,,
2036,CHARGE,11/18/18,5984.89,,,
2036,CHARGE,11/19/18,10191.75,,,
2036,CHARGE,11/20/18,4639.93,,,
2036,CHARGE,11/21/18,3007.03,,,
2036,CHARGE,11/22/18,942.42,,,
2036,CHARGE,11/23/18,2491.9,,,
2036,CHARGE,11/24/18,3922.93,,,
2036,CHARGE,11/25/18,5825.9,,,
2036,CHARGE,11/26/18,14588.02,,,
2036,CHARGE,11/27/18,11329.48,,,
2036,CHARGE,11/28/18,8756.69,,,
2036,CHARGE,11/29/18,8585.84,,,
2036,CHARGE,11/30/18,8462.09,,,
2036,CHARGE,12/1/18,2210.82,,,
2036,CHARGE,12/2/18,3632.86,,,
2036,CHARGE,12/3/18,8112.09,,,
2036,CHARGE,12/4/18,6647.55,,,
2036,PARTIAL_CREDIT,12/5/18,4416.76,,,
2036,CHARGE,12/6/18,3048.54,,,
2036,CHARGE,12/7/18,1961.77,,,
2036,CHARGE,12/8/18,2107.39,,,
2036,CHARGE,12/9/18,752.19,,,
2036,CHARGE,12/10/18,2197.72,,,
2036,CHARGE,12/11/18,3251.06,,,
2036,CHARGE,12/12/18,1466.27,,,
2036,CHARGE,12/13/18,1485.99,,,
2036,CHARGE,12/14/18,1575.67,,,
2036,CHARGE,12/15/18,960.07,,,
2036,CHARGE,12/16/18,467.27,,,
2036,CHARGE,12/17/18,753.18,,,
2036,CHARGE,12/18/18,355.45,,,
2036,CHARGE,12/19/18,172.82,,,
2036,CHARGE,12/20/18,171.94,,,
2036,CHARGE,12/22/18,60,,,
2036,CHARGE,12/26/18,67.14,,,
2036,CHARGE,12/28/18,160,,,
2036,CHARGE,12/30/18,69.23,,,
2036,CHARGE,1/1/19,75,,,
2036,CHARGE,1/2/19,336.54,,,
2036,CHARGE,1/3/19,1069.91,,,
2036,CHARGE,1/4/19,566.76,,,
2036,CHARGE,1/5/19,137.5,,,
2036,CHARGE,1/6/19,276.79,,,
2036,CHARGE,1/7/19,200.87,,,
2036,CHARGE,1/8/19,1172.04,,,
2036,CHARGE,1/9/19,699.59,,,
2036,CHARGE,1/10/19,333.33,,,
2036,CHARGE,1/11/19,676.55,,,
2036,CHARGE,1/12/19,558.66,,,
2036,CHARGE,1/13/19,511.7,,,
2036,CHARGE,1/14/19,4014.23,,,
2036,CHARGE,1/15/19,2748.28,,,
2036,CHARGE,1/16/19,5478.47,,,
2036,CHARGE,1/17/19,1542.63,,,
2036,CHARGE,1/18/19,485.99,,,
2036,CHARGE,1/19/19,260,,,
2036,CHARGE,1/20/19,570,,,
2036,CHARGE,1/21/19,158.36,,,
2036,PARTIAL_CREDIT,1/22/19,171.72,,,
2036,CHARGE,1/23/19,542.72,,,
2036,CHARGE,1/24/19,380.68,,,
2036,CHARGE,1/25/19,243.18,,,
2036,CHARGE,1/27/19,126.79,,,
2036,CHARGE,1/28/19,394.48,,,
2036,CHARGE,1/30/19,1197,,,
2036,CHARGE,1/31/19,60,,,
2036,CHARGE,2/1/19,575,,,
2036,CHARGE,2/2/19,395,,,
2036,CHARGE,2/3/19,64.29,,,
2036,CHARGE,2/4/19,58585.16,,,
2036,CHARGE,2/5/19,41053.39,,,
2036,CHARGE,2/6/19,66521.25,,,
2036,CHARGE,2/7/19,15400.59,,,
2036,CHARGE,2/8/19,16482.07,,,
2036,CHARGE,2/9/19,4719.52,,,
2036,CHARGE,2/10/19,6634.45,,,
2036,CHARGE,2/11/19,16166.38,,,
2036,CHARGE,2/12/19,10663.22,,,
2036,CHARGE,2/13/19,10381.42,,,
2036,CHARGE,2/14/19,9217.2,,,
2036,CHARGE,2/15/19,11828.05,,,
2036,CHARGE,2/16/19,4166.32,,,
2036,CHARGE,2/17/19,6236.24,,,
2036,CHARGE,2/18/19,8629.15,,,
2036,CHARGE,2/19/19,16010.76,,,
2036,CHARGE,2/20/19,13709.11,,,
2036,CHARGE,2/21/19,15688,,,
2036,CHARGE,2/22/19,12296.29,,,
2036,CHARGE,2/23/19,4356.24,,,
2036,CHARGE,2/24/19,8760.52,,,
2036,CHARGE,2/25/19,15196.22,,,
2036,CHARGE,2/26/19,11164.21,,,
2036,CHARGE,2/27/19,16582.16,,,
2036,CHARGE,2/28/19,10452.95,,,
2036,CHARGE,3/1/19,8358.24,,,
2036,CHARGE,3/2/19,4859.53,,,
2036,CHARGE,3/3/19,4734.2,,,
2036,CHARGE,3/4/19,7217.59,,,
2036,CHARGE,3/5/19,5887.5,,,
2036,CHARGE,3/6/19,3698.9,,,
2036,CHARGE,3/7/19,4064.5,,,
2036,CHARGE,3/8/19,2879.19,,,
2036,CHARGE,3/9/19,2415.65,,,
2036,CHARGE,3/10/19,1747.07,,,
2036,CHARGE,3/11/19,3151.97,,,
2036,CHARGE,3/12/19,4357.89,,,
2036,CHARGE,3/13/19,2841.31,,,
2036,CHARGE,3/14/19,1763.66,,,
2036,CHARGE,3/15/19,2810.63,,,
2036,CHARGE,3/16/19,535.94,,,
2036,CHARGE,3/17/19,736.99,,,
2036,CHARGE,3/18/19,3875.49,,,
2036,PARTIAL_CREDIT,3/19/19,1372.78,,,
2036,CHARGE,3/20/19,1485.93,,,
2036,PARTIAL_CREDIT,3/21/19,1924.06,,,
2036,CHARGE,3/22/19,1072.86,,,
2036,CHARGE,3/23/19,1748.66,,,
2036,CHARGE,3/24/19,810.39,,,
2036,CHARGE,3/25/19,3801.13,,,
2036,CHARGE,3/26/19,1362.53,,,
2036,CHARGE,3/27/19,2175.23,,,
2036,CHARGE,3/28/19,585,,,
2036,CHARGE,3/29/19,720.82,,,
2036,CHARGE,3/30/19,114,,,
2036,CHARGE,3/31/19,75,,,
2036,CHARGE,4/1/19,725.36,,,
2036,CHARGE,4/2/19,2462.03,,,
2036,CHARGE,4/3/19,788.54,,,
2036,CHARGE,4/4/19,2643.66,,,
2036,CHARGE,4/5/19,2918.78,,,
2036,CHARGE,4/6/19,773.51,,,
2036,CHARGE,4/7/19,788.18,,,
2036,CHARGE,4/8/19,4820.54,,,
2036,CHARGE,4/9/19,1820.22,,,
2036,CHARGE,4/10/19,4371.8,,,
2036,CHARGE,4/11/19,6812.59,,,
2036,CHARGE,4/12/19,2368.75,,,
2036,CHARGE,4/13/19,421.08,,,
2036,CHARGE,4/14/19,999.46,,,
2036,CHARGE,4/15/19,1589.54,,,
2036,CHARGE,4/16/19,891.5,,,
2036,CHARGE,4/17/19,1218,,,
2036,CHARGE,4/18/19,2977.21,,,
2036,CHARGE,4/19/19,537.3,,,
2036,CHARGE,4/20/19,75,,,
2036,CHARGE,4/21/19,255,,,
2036,PARTIAL_CREDIT,4/22/19,409.5,,,
2036,CHARGE,4/25/19,90,,,
2036,CHARGE,4/26/19,75,,,
2036,CHARGE,4/27/19,92.73,,,
2036,CHARGE,4/30/19,200,,,
2036,CHARGE,5/1/19,481,,,
2036,PARTIAL_CREDIT,5/2/19,167.72,,,
2036,CHARGE,5/3/19,200,,,
2036,CHARGE,5/4/19,180,,,
2036,CHARGE,5/6/19,93822.53,,,
2036,CHARGE,5/7/19,46663.68,,,
2036,CHARGE,5/8/19,12852.17,,,
2036,CHARGE,5/9/19,14659.32,,,
2036,CHARGE,5/10/19,7009.15,,,
2036,CHARGE,5/11/19,2757.99,,,
2036,CHARGE,5/12/19,6430.28,,,
2036,CHARGE,5/13/19,11838.85,,,
2036,CHARGE,5/14/19,5876.22,,,
2036,CHARGE,5/15/19,6603.09,,,
2036,CHARGE,5/16/19,6320.38,,,
2036,CHARGE,5/17/19,5377.51,,,
2036,CHARGE,5/18/19,2034.46,,,
2036,CHARGE,5/19/19,5183.97,,,
2036,CHARGE,5/20/19,10366.86,,,
2036,CHARGE,5/21/19,8386.18,,,
2036,CHARGE,5/22/19,13638.67,,,
